title,link,price
"MSI Commercial 14 H, Intel 13th
                                        Gen i7-13700H, 36CM Business Laptop(32GB/1TB NVMe SSD/Windows 11 Pro/Intel Xe
                                        Graphics/Solid Grey/1.6Kg), A13MG vPro-065IN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Nzg1NzYwMzUzMDgzMjY3OjE3MjQ4NTQzOTg6c3BfYXRmOjMwMDI2MDU4NTc1MDEzMjo6MDo6&url=%2FMSI-Commercial-i7-13700H-Business-vPro-065IN%2Fdp%2FB0CV3WFK56%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXKPpn_gB9XH8Cvb5l_DwNNW0T9UM14Io8wsFfsTB8w6Cq-BK4n9kKA5i-J51CjhHynclPdkaozoAbe9oFVW1N4tAaXCNJsSGh_t56EB0eoRyoUwqqnFFYw-2IgVlGr24mEpcG5n8y7Kh6oFp3hq2hz1bePVK0yoX48bt4fhM8PpavGR7h10bJcqXISRvY9ziI.43pBEgrnOmyowPFxNEuqrJErC6EInpcAQ97JJTIqdHA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724854398%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,09,990"
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Nzg1NzYwMzUzMDgzMjY3OjE3MjQ4NTQzOTg6c3BfYXRmOjMwMDIyNDI2MzYwMTQzMjo6MDo6&url=%2FLenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN%2Fdp%2FB0D6NCVQZQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXKPpn_gB9XH8Cvb5l_DwNNW0T9UM14Io8wsFfsTB8w6Cq-BK4n9kKA5i-J51CjhHynclPdkaozoAbe9oFVW1N4tAaXCNJsSGh_t56EB0eoRyoUwqqnFFYw-2IgVlGr24mEpcG5n8y7Kh6oFp3hq2hz1bePVK0yoX48bt4fhM8PpavGR7h10bJcqXISRvY9ziI.43pBEgrnOmyowPFxNEuqrJErC6EInpcAQ97JJTIqdHA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724854398%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"61,990"
"MSI Commercial 14 H, Intel 13th Gen i5-13420H, 36CM Business Laptop(16GB/512GB NVMe SSD/Windows 11 Pro/Intel Xe Graphics/Solid Grey/1.6Kg), A13MG-064IN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Nzg1NzYwMzUzMDgzMjY3OjE3MjQ4NTQzOTg6c3BfbXRmOjMwMDI2MDU4NTc1MDIzMjo6MDo6&url=%2FMSI-Commercial-i5-13420H-Business-A13MG-064IN%2Fdp%2FB0CV3XS56S%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXKPpn_gB9XH8Cvb5l_DwNNW0T9UM14Io8wsFfsTB8w6Cq-BK4n9kKA5i-J51CjhHynclPdkaozoAbe9oFVW1N4tAaXCNJsSGh_t56EB0eoRyoUwqqnFFYw-2IgVlGr24mEpcG5n8y7Kh6oFp3hq2hz1bePVK0yoX48bt4fhM8PpavGR7h10bJcqXISRvY9ziI.43pBEgrnOmyowPFxNEuqrJErC6EInpcAQ97JJTIqdHA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724854398%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"87,990"
"Dell Inspiorn 5630 Laptop, Intel 13th Gen i7-1360P Processor, 16GB LP DDR5, 1TB SSD, 16.0"" FHD+ 300 nits Display, Backlit KB + FPR, Win 11 + MSO'21 & 15 Month, Silver, Thin & Light- 1.85kg McAfee,  ",https://amazon.in//Dell-Inspiorn-i7-1360P-Processor-Display/dp/B0CX1T4HKC/ref=sr_1_100?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-100,"91,739"
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS  ",https://amazon.in//ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_101?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-101,"43,990"
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 Kg), E1504FA-NJ541WS  ",https://amazon.in//ASUS-Vivobook-Integrated-Graphics-E1504FA-NJ541WS/dp/B0BQSH511C/ref=sr_1_102?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-102,"43,929"
"Dell Inspiron 5430 13th Gen Laptop, Intel Core i5-1335U Processor/16GB/ 512GB SSD/14.0"" (35.56cm) FHD+/Backlit KB + FPR/Win 11 + MSO'2/McAfee 15 Months/Silver/Thunderbolt 4.0 â€‹Port/Thin & Light-1.59kg  ",https://amazon.in//Dell-Inspiron-i5-1335U-35-56Cms-Thunderbolt/dp/B0C1595WPW/ref=sr_1_103?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-103,"65,811"
"ASUS Vivobook 15 Thin and Light Laptop,Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, (16GB RAM/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ541WS  ",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ541WS/dp/B0C7H6SSC8/ref=sr_1_104?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-104,"53,990"
"Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)  ",https://amazon.in//Primebook-Android-Based-MediaTek-MT8183/dp/B0D2Y4KLGN/ref=sr_1_105?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-105,"13,490"
"ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/1TB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-NY039W  ",https://amazon.in//ASUS-i5-11400H-17-3-inch-GeForce-FX706HF-NY039W/dp/B0D3LZPSD7/ref=sr_1_106?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.EsKb5kvtV4GDrlzOfPJxO59mKIu5uU8UELLhQgd3UY0tHPZysykRIBR0inibReU8oWHZE72OhvHyYitUpT8r_-8bF6Ylg6TU-4M2ry_ZmdDIL_rI3BfgrFPnXEGMthoUlwU7FjK_lgYVhJC1b5tv0VbpPgfND6apAu7kTngX8QoSTw7bZUBHkLWzmWkKunrOBCFwRVA0dr9zHSs7xErIl7SZVXqc6xRqGUGcdDYQpbk.8bLy4XS3r3oQLJG4MOAa0wy6nfMJ6wHqrks1C24E980&dib_tag=se&keywords=laptop&qid=1724854441&sprefix=laptop%2Caps%2C349&sr=8-106,"53,990"
