title,link,price,rating,MRP,Reviews_count,delivery_date,image
Sonos Ace - White - Wireless Over Ear Headphones with Noise Cancellation  ,https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDYwNDAxMzc0NDExMzQ0OjE3Mjc0Mjc4OTg6c3BfYXRmOjMwMDM0NTM5NDAyNzEzMjo6MDo6&url=%2FSonos-Ace-Wireless-Headphones-Cancellation%2Fdp%2FB0D37R7X6Z%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1727427898%26sprefix%3Dheadphones%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"33,997",4.1 out of 5 stars,"39,999",123,"Sun, 29 Sept",https://m.media-amazon.com/images/I/51vbNaqQxmL._AC_UY218_.jpg
"HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 18 Hours Playtime, Bluetooth 5.3, Workout/Travel (Black)  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDYwNDAxMzc0NDExMzQ0OjE3Mjc0Mjc4OTg6c3BfYXRmOjMwMDIwNjU4NDg2ODczMjo6MDo6&url=%2FHAMMER-Bash-Max-Bluetooth-Headphones%2Fdp%2FB0CBFZYZM6%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1727427898%26sprefix%3Dheadphones%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"2,099",3.8 out of 5 stars,"8,245","2,816","Tue, 1 Oct",https://m.media-amazon.com/images/I/61Qwi91REJL._AC_UY218_.jpg
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)  ",https://amazon.in//Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_3?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-3,"1,298",4.1 out of 5 stars,"3,990","113,464","Sun, 29 Sept",https://m.media-amazon.com/images/I/51FNnHjzhQL._AC_UY218_.jpg
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Aqua Blue)  ",https://amazon.in//Boat-Rockerz-450-Lightweight-Compatibility/dp/B08667772G/ref=sr_1_4?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-4,"1,498",4.1 out of 5 stars,"3,990","113,464","Mon, 30 Sept",https://m.media-amazon.com/images/I/61u1VALn6JL._AC_UY218_.jpg
"boAt Rockerz 550 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)  ",https://amazon.in//Boat-Rockerz-550-Headphone-Aesthetics/dp/B0856HY85J/ref=sr_1_5?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-5,"1,598",4.1 out of 5 stars,"4,999","62,374","Sun, 29 Sept",https://m.media-amazon.com/images/I/61gYxcIGjvL._AC_UY218_.jpg
"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation with Mic (Black Symphony)  ",https://amazon.in//boAt-Rockerz-550-Headphone-Aesthetics/dp/B08R7M1JM5/ref=sr_1_6?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-6,"1,598",4.1 out of 5 stars,"4,999","62,374","Sun, 29 Sept",https://m.media-amazon.com/images/I/61F5SXdi9jL._AC_UY218_.jpg
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black)  ,https://amazon.in//boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_7?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-7,298,4.1 out of 5 stars,999,"395,964","Sun, 29 Sept",https://m.media-amazon.com/images/I/513ugd16C6L._AC_UY218_.jpg
"boAt Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)  ",https://amazon.in//Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3NQHX/ref=sr_1_8?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-8,"1,198",3.9 out of 5 stars,"2,999","2,316","Sun, 29 Sept",https://m.media-amazon.com/images/I/61XvYOrqVeL._AC_UY218_.jpg
"Boult Newly Launched Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, IPX5 Wireless Headphones (Black)  ",https://amazon.in//Boult-Launched-Bluetooth-Headphones-Playtime/dp/B0DFHFH16K/ref=sr_1_9?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-9,"1,498",4.0 out of 5 stars,"5,999",1,"Wed, 2 Oct",https://m.media-amazon.com/images/I/71zfpkr4bYL._AC_UY218_.jpg
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Hazel Beige)  ",https://amazon.in//Boat-Rockerz-450-Lightweight-Compatibility/dp/B086671ZSR/ref=sr_1_10?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.HpWI2eB2JTDRxFQ8P0ttlhvbCo3IaZC_ZDRPnADxOCw7_702F2xoEO2X6aUOZsF3HhLI02aUImHQ2K_70FmOvhhWbT9Lbxft67tyNWTXF9h8W8hqZuzMfcIeHi5USH5x2wWyGXOpoFCyQMeEO_5TVINwZrxbd6AutY2fRQThnMU_7WgTg3HKrjftNO9LmvvGRe_GEZoiYRdRup2NVKQBtjGB2BSD9q812Q6woTdD-w4.oDhUs0PocwR2fIEferRkIrqZwKmIK0-SmEdhWsUqeOc&dib_tag=se&keywords=headphones&qid=1727427898&sprefix=headphones%2Caps%2C349&sr=8-10,"1,498",4.1 out of 5 stars,"3,990","113,464","Sun, 29 Sept",https://m.media-amazon.com/images/I/51Tf2zsMODL._AC_UY218_.jpg
