title,link,price,rating,MRP,Reviews_count,discount_percentage,Delivery,delivery_date,image
"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MTg5MjM1NTIyMTEwOTMxOjE3MjY5MzIzNzc6c3BfYXRmOjMwMDI4MTgzNTEzNzYzMjo6MDo6&url=%2FAcer-i3-1305U-Premium-Windows-AL15-53%2Fdp%2FB0DB1SDB87%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCtWhWnTuUSWK7gkdgH0aoh86K4cXDKnI6m34_CQYkFYzRc0PkaeTjdzUKwqnT6ZkB3VHMjZE90iwJ8kAD6cb4GSGhOyDNHDuShPpomYPXTtO0Ha_qUx_Ufu3nPhflFNzM3Ry3nYnI2Hrr02SY0JwbtST9AQSIctFCUHR6LKrgYH4-W2h2ZgucL6wfsfYCEOI7Tbq1YpWJj31nm-j0wUcXE.Rycpn3zeJcA7dluqQaHc3HGa939NAjoiRe5VGWX6txM%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1726932377%26sprefix%3DLaptop%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"33,990",4.0 out of 5 stars,"50,990",954,33% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fy5011TU  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MTg5MjM1NTIyMTEwOTMxOjE3MjY5MzIzNzc6c3BfYXRmOjMwMDM0MTAzNTM1MzUzMjo6MDo6&url=%2FHP-i3-1215U-15-6-inch-Graphics-Speakers%2Fdp%2FB0D4LZMJ5Z%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCtWhWnTuUSWK7gkdgH0aoh86K4cXDKnI6m34_CQYkFYzRc0PkaeTjdzUKwqnT6ZkB3VHMjZE90iwJ8kAD6cb4GSGhOyDNHDuShPpomYPXTtO0Ha_qUx_Ufu3nPhflFNzM3Ry3nYnI2Hrr02SY0JwbtST9AQSIctFCUHR6LKrgYH4-W2h2ZgucL6wfsfYCEOI7Tbq1YpWJj31nm-j0wUcXE.Rycpn3zeJcA7dluqQaHc3HGa939NAjoiRe5VGWX6txM%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1726932377%26sprefix%3DLaptop%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"37,490",4.1 out of 5 stars,"48,988","1,930",23% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/81hqIX36KnL._AC_UY218_.jpg
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCtWhWnTuUSWK7gkdgH0aoh86K4cXDKnI6m34_CQYkFYzRc0PkaeTjdzUKwqnT6ZkB3VHMjZE90iwJ8kAD6cb4GSGhOyDNHDuShPpomYPXTtO0Ha_qUx_Ufu3nPhflFNzM3Ry3nYnI2Hrr02SY0JwbtST9AQSIctFCUHR6LKrgYH4-W2h2ZgucL6wfsfYCEOI7Tbq1YpWJj31nm-j0wUcXE.Rycpn3zeJcA7dluqQaHc3HGa939NAjoiRe5VGWX6txM&dib_tag=se&keywords=Laptop&qid=1726932377&sprefix=Laptop%2Caps%2C349&sr=8-3,"15,835",3.4 out of 5 stars,"1,00,000",713,84% off,FREE delivery,"Thu, 26 Sept",https://m.media-amazon.com/images/I/61vGumezioL._AC_UY218_.jpg
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_4?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCtWhWnTuUSWK7gkdgH0aoh86K4cXDKnI6m34_CQYkFYzRc0PkaeTjdzUKwqnT6ZkB3VHMjZE90iwJ8kAD6cb4GSGhOyDNHDuShPpomYPXTtO0Ha_qUx_Ufu3nPhflFNzM3Ry3nYnI2Hrr02SY0JwbtST9AQSIctFCUHR6LKrgYH4-W2h2ZgucL6wfsfYCEOI7Tbq1YpWJj31nm-j0wUcXE.Rycpn3zeJcA7dluqQaHc3HGa939NAjoiRe5VGWX6txM&dib_tag=se&keywords=Laptop&qid=1726932377&sprefix=Laptop%2Caps%2C349&sr=8-4,"12,999",3.7 out of 5 stars,"39,999",511,68% off,FREE delivery,"Thu, 26 Sept",https://m.media-amazon.com/images/I/617Ykb5YvLL._AC_UY218_.jpg
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ",https://amazon.in//Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_5?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCtWhWnTuUSWK7gkdgH0aoh86K4cXDKnI6m34_CQYkFYzRc0PkaeTjdzUKwqnT6ZkB3VHMjZE90iwJ8kAD6cb4GSGhOyDNHDuShPpomYPXTtO0Ha_qUx_Ufu3nPhflFNzM3Ry3nYnI2Hrr02SY0JwbtST9AQSIctFCUHR6LKrgYH4-W2h2ZgucL6wfsfYCEOI7Tbq1YpWJj31nm-j0wUcXE.Rycpn3zeJcA7dluqQaHc3HGa939NAjoiRe5VGWX6txM&dib_tag=se&keywords=Laptop&qid=1726932377&sprefix=Laptop%2Caps%2C349&sr=8-5,"22,990",4.5 out of 5 stars,"89,990",2,74% off,FREE delivery,"Tue, 24 Sept",https://m.media-amazon.com/images/I/71MuvuEjyAL._AC_UY218_.jpg
"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDY1NTE1MTMzNzY2ODcwOjE3MjY5MzIzNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTgzNTEzNzYzMjo6MDo6&url=%2FAcer-i3-1305U-Premium-Windows-AL15-53%2Fdp%2FB0DB1SDB87%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1895KSWNLJ6QB%26cv_ct_cx%3DLaptop%26dib%3DeyJ2IjoiMSJ9.25IbYx6mrUoW_JSnEhwAOwAWJtllj3Qnx6BbxPYElDA_4cEh-mYOoJcdQd-vdRT9lL7_tD3Pk1qr_YoTG2dADA.VM8GUvsJU99h1LPGstR_pAogg0e3bAwtaN5Zj9AXuUU%26dib_tag%3Dse%26keywords%3DLaptop%26pd_rd_i%3DB0DB1SDB87%26pd_rd_r%3D6ef9ec0b-17d4-4954-bde5-c8cc50c924af%26pd_rd_w%3DWyUIy%26pd_rd_wg%3DYeMuT%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DHKDQQ9GHCDSX1AERSAS0%26qid%3D1726932377%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3DLaptop%252Caps%252C349%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"33,990",4.0 out of 5 stars,"50,990",954,33% off,N/A,N/A,https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UL320_.jpg
"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDY1NTE1MTMzNzY2ODcwOjE3MjY5MzIzNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIxNDUwNDQyNzMzMjo6MTo6&url=%2FHP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU%2Fdp%2FB0B4N77Y34%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1895KSWNLJ6QB%26cv_ct_cx%3DLaptop%26dib%3DeyJ2IjoiMSJ9.25IbYx6mrUoW_JSnEhwAOwAWJtllj3Qnx6BbxPYElDA_4cEh-mYOoJcdQd-vdRT9lL7_tD3Pk1qr_YoTG2dADA.VM8GUvsJU99h1LPGstR_pAogg0e3bAwtaN5Zj9AXuUU%26dib_tag%3Dse%26keywords%3DLaptop%26pd_rd_i%3DB0B4N77Y34%26pd_rd_r%3D6ef9ec0b-17d4-4954-bde5-c8cc50c924af%26pd_rd_w%3DWyUIy%26pd_rd_wg%3DYeMuT%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DHKDQQ9GHCDSX1AERSAS0%26qid%3D1726932377%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3DLaptop%252Caps%252C349%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"42,990",4.0 out of 5 stars,"59,109",671,27% off,N/A,N/A,https://m.media-amazon.com/images/I/51Vl3NXlzbL._AC_UL320_.jpg
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDY1NTE1MTMzNzY2ODcwOjE3MjY5MzIzNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI0ODUwMjMzNDUzMjo6Mjo6&url=%2FHP-i3-1215U-15-6-inch-Graphics-Speakers%2Fdp%2FB0BP2M7CCS%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1895KSWNLJ6QB%26cv_ct_cx%3DLaptop%26dib%3DeyJ2IjoiMSJ9.25IbYx6mrUoW_JSnEhwAOwAWJtllj3Qnx6BbxPYElDA_4cEh-mYOoJcdQd-vdRT9lL7_tD3Pk1qr_YoTG2dADA.VM8GUvsJU99h1LPGstR_pAogg0e3bAwtaN5Zj9AXuUU%26dib_tag%3Dse%26keywords%3DLaptop%26pd_rd_i%3DB0BP2M7CCS%26pd_rd_r%3D6ef9ec0b-17d4-4954-bde5-c8cc50c924af%26pd_rd_w%3DWyUIy%26pd_rd_wg%3DYeMuT%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DHKDQQ9GHCDSX1AERSAS0%26qid%3D1726932377%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3DLaptop%252Caps%252C349%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"38,990",4.1 out of 5 stars,"51,134",884,24% off,N/A,N/A,https://m.media-amazon.com/images/I/61fWu66j3OL._AC_UL320_.jpg
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fy5011TU  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDY1NTE1MTMzNzY2ODcwOjE3MjY5MzIzNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0MTAzNTM1MzUzMjo6Mzo6&url=%2FHP-i3-1215U-15-6-inch-Graphics-Speakers%2Fdp%2FB0D4LZMJ5Z%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1895KSWNLJ6QB%26cv_ct_cx%3DLaptop%26dib%3DeyJ2IjoiMSJ9.25IbYx6mrUoW_JSnEhwAOwAWJtllj3Qnx6BbxPYElDA_4cEh-mYOoJcdQd-vdRT9lL7_tD3Pk1qr_YoTG2dADA.VM8GUvsJU99h1LPGstR_pAogg0e3bAwtaN5Zj9AXuUU%26dib_tag%3Dse%26keywords%3DLaptop%26pd_rd_i%3DB0D4LZMJ5Z%26pd_rd_r%3D6ef9ec0b-17d4-4954-bde5-c8cc50c924af%26pd_rd_w%3DWyUIy%26pd_rd_wg%3DYeMuT%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DHKDQQ9GHCDSX1AERSAS0%26qid%3D1726932377%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3DLaptop%252Caps%252C349%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"37,490",4.1 out of 5 stars,"48,988","1,930",23% off,N/A,N/A,https://m.media-amazon.com/images/I/81hqIX36KnL._AC_UL320_.jpg
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BRIN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDY1NTE1MTMzNzY2ODcwOjE3MjY5MzIzNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTA3NDQwMDY5MTk4Ojo0Ojo&url=%2FLenovo-IdeaPad-39-62cm-Windows-82R400BGIN%2Fdp%2FB09MM58Y7Q%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1895KSWNLJ6QB%26cv_ct_cx%3DLaptop%26dib%3DeyJ2IjoiMSJ9.25IbYx6mrUoW_JSnEhwAOwAWJtllj3Qnx6BbxPYElDA_4cEh-mYOoJcdQd-vdRT9lL7_tD3Pk1qr_YoTG2dADA.VM8GUvsJU99h1LPGstR_pAogg0e3bAwtaN5Zj9AXuUU%26dib_tag%3Dse%26keywords%3DLaptop%26pd_rd_i%3DB09MM58Y7Q%26pd_rd_r%3D6ef9ec0b-17d4-4954-bde5-c8cc50c924af%26pd_rd_w%3DWyUIy%26pd_rd_wg%3DYeMuT%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DHKDQQ9GHCDSX1AERSAS0%26qid%3D1726932377%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3DLaptop%252Caps%252C349%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"36,990",4.0 out of 5 stars,"55,090","2,225",33% off,N/A,N/A,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UL320_.jpg
