title,link,price,rating,MRP,Reviews_count,delivery_date,image
"Digitek® (DWM 101 Wireless Microphone System with ANC Noise Reduction, 360° Sound Capture, 100M Range, Upto 12 Hrs Working Time, for DSLR Camera, Android & iOS Smartphones, Seamless Audio Recording  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MzMyNjY0OTcyNDE0NjY3OjE3Mjc0MjU4Nzg6c3BfYXRmOjIwMTA5NTQ3NzI1MDk4OjowOjo&url=%2FDigitek-Microphone-Smartphone-DWM-101%2Fdp%2FB0B8DF9H2R%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8%26dib_tag%3Dse%26keywords%3Dmic%26qid%3D1727425878%26sprefix%3Dmic%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"4,198",3.6 out of 5 stars,"6,995","1,655","Tomorrow, 28 September",https://m.media-amazon.com/images/I/71bd2iJ18bL._AC_UL320_.jpg
"Sennheiser Profile USB Microphone for Podcasting, Recording, Streaming & Gaming. Built-in Headphone Output, All Metal housing and Cardioid Condenser Capsule  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MzMyNjY0OTcyNDE0NjY3OjE3Mjc0MjU4Nzg6c3BfYXRmOjIwMTMxMjU2OTIwNDk4OjowOjo&url=%2FSennheiser-Microphone-Podcasting-Recording-Streaming%2Fdp%2FB0BTPYCD86%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8%26dib_tag%3Dse%26keywords%3Dmic%26qid%3D1727425878%26sprefix%3Dmic%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"5,990",4.3 out of 5 stars,"10,990",552,Sunday 29 September,https://m.media-amazon.com/images/I/51QZ0rHYw6L._AC_UL320_.jpg
"SENNHEISER Professional Audio Wireless Headset Mic XSW 1-ME3-A - Easy to use | Singers, Presenters, Wind Instruments. Ideal for Speech, Classroom, Conference | 120feet Range & Upto 10 Channels  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MzMyNjY0OTcyNDE0NjY3OjE3Mjc0MjU4Nzg6c3BfYXRmOjIwMDQxODY5MzQ2NjA2OjowOjo&url=%2FSennheiser-XSW-1-ME3-A%2Fdp%2FB01N13N6ZK%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8%26dib_tag%3Dse%26keywords%3Dmic%26qid%3D1727425878%26sprefix%3Dmic%252Caps%252C349%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"26,591",4.1 out of 5 stars,"34,900",40,"Tomorrow, 28 September",https://m.media-amazon.com/images/I/518NEuIU3zL._AC_UL320_.jpg
"Digitek® DWM 104 Wireless Microphone System, 2 Transmitters 1 Receiver with TFT Display, 150M Range, 10Hrs RX/TX Runtime, Noise Cancellation, Low Cut Function, Mono/Stereo Output, 3.5mm Interface  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MzMyNjY0OTcyNDE0NjY3OjE3Mjc0MjU4Nzg6c3BfYXRmOjMwMDA5NzU5ODc2NTkzMjo6MDo6&url=%2FDigitek%25C2%25AE-Microphone-Transmitters-Cancellation-Interface%2Fdp%2FB0CBVN8PKQ%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8%26dib_tag%3Dse%26keywords%3Dmic%26qid%3D1727425878%26sprefix%3Dmic%252Caps%252C349%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"6,497",2.9 out of 5 stars,"10,995",41,"Tomorrow, 28 September",https://m.media-amazon.com/images/I/719ts0SOnKL._AC_UL320_.jpg
"Zebronics MP100, Wired Microphone, 6.3mm, High Sensitivity Dynamic Mic, Cardioid Polar Pattern, for Karaoke | Speech | Stage | Wedding, 2.9 Meter Cable Length  ",https://amazon.in//Zebronics-ZEB-MP100-Microphone-Sensitivity-Dynamic/dp/B09ZKV5HSJ/ref=sr_1_5?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8&dib_tag=se&keywords=mic&qid=1727425878&sprefix=mic%2Caps%2C349&sr=8-5,348,3.7 out of 5 stars,899,38,"Tomorrow, 28 September",https://m.media-amazon.com/images/I/61dSaGxfFHL._AC_UL320_.jpg
Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)  ,https://amazon.in//Boya-Omnidirectional-Lavalier-Condenser-Microphone/dp/B076B8G5D8/ref=sr_1_6?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8&dib_tag=se&keywords=mic&qid=1727425878&sprefix=mic%2Caps%2C349&sr=8-6,799,4.0 out of 5 stars,"1,995","81,189","Tomorrow, 28 September",https://m.media-amazon.com/images/I/61IIhU50DML._AC_UL320_.jpg
"JBL Commercial CSLM30 Auxiliary Omnidirectional Lavalier Microphone with Earphone for Calls, Conferences and Monitoring  ",https://amazon.in//JBL-Commercial-Omnidirectional-Microphone-Conferences/dp/B09HS3HYJG/ref=sr_1_7?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8&dib_tag=se&keywords=mic&qid=1727425878&sprefix=mic%2Caps%2C349&sr=8-7,349,3.9 out of 5 stars,"2,000","19,358","Tomorrow, 28 September",https://m.media-amazon.com/images/I/51ySJDoJViL._AC_UL320_.jpg
"VOOK Dual Channel Wireless-Mic with Noise Reduction for Video Recording, Support Type C Android & iPhone, Lapel Mic for YouTube, Facebook, Vlogging, Live Streaming, Instagram  ",https://amazon.in//VOOK-Wireless-Mic-Reduction-Recording-Streaming/dp/B0DCF7P7L5/ref=sr_1_8?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8&dib_tag=se&keywords=mic&qid=1727425878&sprefix=mic%2Caps%2C349&sr=8-8,"2,049",4.4 out of 5 stars,"6,999","2,478","Tomorrow, 28 September",https://m.media-amazon.com/images/I/618ohEMNmqL._AC_UL320_.jpg
"Portronics Dash 7 Omnidirectional Type C Wireless Microphone, Noise Cancellation, Plug & Play, Lapel Wireless Mic for Video Recording, Supports Type C Android, iPhone, Camera(Black)  ",https://amazon.in//Portronics-Omnidirectional-Microphone-Cancellation-Recording/dp/B0CWXRTBSZ/ref=sr_1_9?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8&dib_tag=se&keywords=mic&qid=1727425878&sprefix=mic%2Caps%2C349&sr=8-9,696,3.8 out of 5 stars,"1,999",771,"Tomorrow, 28 September",https://m.media-amazon.com/images/I/510FMHQ1ikL._AC_UL320_.jpg
"PKST 1.5 M Collar Mic Voice Recording Filter Microphone, Digital Noise Cancellation Clip Collar Mic Condenser for Singing, YouTube, Smartphones  ",https://amazon.in//Recording-Microphone-Cancellation-Condenser-Smartphones/dp/B0CJ764X1S/ref=sr_1_10?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.rE1Wy-H-XZV0JZ2_ndgHqSVB3mw9skIMR8YDE_MZmSvNcWXVE-kXrXogRTguNlULxAbKDwZ9c2fiVLt1Jq45trQAKp_1qvSHbfwUX5iQrO-MgqTI2SWW0AQu05IrCqtoYgQGPlZzgrx34OJ4WMUjSUoClGV3wipqeMpMTogOkRL3V2RxcDQyE6Bt5xwECJMm1avEp9W5kUv4cQ6vEuI_AUo2wiAUB6hF4p6SfKqsu4GYduysmgX57nDL7_-YapZxXb37m_UhPoLJH9BXFGrh5W02USNgozPxaA-Ye1BuHjc.SRUvLgCTjHbd6Lj7DeXvBX4p-6Vxm0YviLh1Mf27-n8&dib_tag=se&keywords=mic&qid=1727425878&sprefix=mic%2Caps%2C349&sr=8-10,299,4.5 out of 5 stars,599,108,Thursday 3 October,https://m.media-amazon.com/images/I/71bJKMaaErL._AC_UL320_.jpg
