title,link,price,rating,MRP,Reviews_count,discount_percentage,Delivery,delivery_date,image
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0ODk2MDMxNjExNjQ4NTIwOjE3MjY5MDIxODE6c3BfYXRmOjMwMDI2MTEyMTI0NDQzMjo6MDo6&url=%2FSamsung-Thunder-Storage-Corning-Gorilla%2Fdp%2FB0D7Z8CJP8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE%26dib_tag%3Dse%26keywords%3Dmobile%2Bunder%2B20000%26qid%3D1726902181%26sprefix%3Dmobile%2Bunder%2B20000%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"19,999",4.1 out of 5 stars,"24,499","1,484",18% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/81XXj6IKM8L._AC_UY218_.jpg
HMD Crest Max 5G | Segment 1st 50 MP Front Cam | Triple Rear AI Cam with 64 MP Primary Sony Sensor | FHD+ OLED Display | 8 GB RAM & 256 GB Storage | Android 14 | 33W Fast Charger in Box | Deep Purple  ,https://amazon.in//sspa/click?ie=UTF8&spc=MTo0ODk2MDMxNjExNjQ4NTIwOjE3MjY5MDIxODE6c3BfYXRmOjMwMDMwNjM3MjM1NjkzMjo6MDo6&url=%2FHMD-Segment-Primary-Display-Storage%2Fdp%2FB0D93WGXC9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE%26dib_tag%3Dse%26keywords%3Dmobile%2Bunder%2B20000%26qid%3D1726902181%26sprefix%3Dmobile%2Bunder%2B20000%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"16,499",3.6 out of 5 stars,"22,499",269,27% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/61Q4lRPtMdL._AC_UY218_.jpg
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)  ",https://amazon.in//OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_3?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-3,"19,998",4.1 out of 5 stars,"20,999","1,650",5% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/61Io5-ojWUL._AC_UY218_.jpg
"iQOO Z9s 5G (Titanium Matte, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light  ",https://amazon.in//iQOO-Titanium-Ultra-Thin-Dimesity-Processor/dp/B07WHS99FG/ref=sr_1_4?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-4,"19,998",4.4 out of 5 stars,"25,999",174,23% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/61BxKJrnbdL._AC_UY218_.jpg
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)  ",https://amazon.in//OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_5?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-5,"16,397",4.2 out of 5 stars,"19,999","50,147",18% off,FREE delivery,"Mon, 30 Sept",https://m.media-amazon.com/images/I/61LB+d0vheL._AC_UY218_.jpg
"Moto G85 5G (128, Cobalt Blue, New)  ",https://amazon.in//Moto-G85-128-Cobalt-Blue/dp/B0D9LS6MVV/ref=sr_1_6?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-6,"18,960",4.2 out of 5 stars,"32,999",17,43% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/51lcV2EKggL._AC_UY218_.jpg
"realme NARZO 70 Pro 5G (Glass Green, 8GB RAM,256GB Storage) Dimensity 7050 5G Chipset | Horizon Glass Design | Segment 1st Flagship Sony IMX890 OIS Camera  ",https://amazon.in//realme-Storage-Dimensity-Chipset-Flagship/dp/B0CW61C6LK/ref=sr_1_7?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-7,"18,248",4.1 out of 5 stars,"26,999","4,272",32% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/71-ZHpmFzDL._AC_UY218_.jpg
"Motorola G64 5G (Ice Lilac, 12GB RAM, 256GB Storage) | Expandable Upto 2TB | Upto 24GB RAM with RAM Boost | 50MP (OIS) + 8MP | 16MP Front Camera | MediaTek Dimensity 7025 Processor | 6000 mAh Battery  ",https://amazon.in//Motorola-Expandable-MediaTek-Dimensity-Processor/dp/B0D3BJ3719/ref=sr_1_8?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-8,"17,720",3.7 out of 5 stars,"19,999",73,11% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/71ynZLgkkBL._AC_UY218_.jpg
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)  ",https://amazon.in//OnePlus-Nord-Chromatic-256GB-Storage/dp/B0BY8L3RZ6/ref=sr_1_9?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-9,"18,599",4.2 out of 5 stars,N/A,"50,147",N/A,FREE delivery as soon as,"Tue, 24 Sept, 9 am - 5 pm",https://m.media-amazon.com/images/I/61LB+d0vheL._AC_UY218_.jpg
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)  ",https://amazon.in//OnePlus-Ultra-Orange-128GB-Storage/dp/B0D5YDJ5QM/ref=sr_1_10?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEL-1qCX39FiDo707sojcRodlzTkcJ4lVxGE8B4R5NNBtPKRX_bDUeZIMy15sQphkJ6CHPoL3b24IxO6CMUv2M9jijhqiWiiCFmvCmMkO67wWxl1XvBeExWybnVa19vtIqN3aY5Ub2L88Ql4rHCJ-2umK3pizO6wC3y373GDSPAdiegokiyXwnf9S_Z-n27m0cmZwtKbQtwF1NuKH_uzQvS4.4VGkg6fJnSn6tzm39QzDhQcjdQFRKLxcgsPNtE6gmmE&dib_tag=se&keywords=mobile+under+20000&qid=1726902181&sprefix=mobile+under+20000%2Caps%2C349&sr=8-10,"19,998",4.1 out of 5 stars,"20,999","1,650",5% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/51KJE22BKrL._AC_UY218_.jpg
