title,link,price,rating,MRP,Reviews_count,Delivery,delivery_date,image
"Vimal Cottonseed Oil: Healthy Kapasiya Tel, Refined Cooking Oil for Balanced Diet | Pure Cottonseed Oil (15L)  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDIwODk1MzE3NjI5OTkzOjE3MjcxODUwMzI6c3BfYXRmOjMwMDI1ODQ0NDQyODczMjo6MDo6&url=%2FVimal-Refined-Cottonseed-Oil-Bucket%2Fdp%2FB0BVWK2GF3%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU%26dib_tag%3Dse%26keywords%3Dpalm%2Boil%26qid%3D1727185032%26sprefix%3Dpalm%2Boil%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"2,809",4.7 out of 5 stars,"2,809",35,Get it by,Monday 30 September,https://m.media-amazon.com/images/I/71mgF2X4u1L._AC_UL320_.jpg
"VAIGARAI Wood Cold Pressed Sesame Oil 500 Ml Half Litre (Using Karuppati) Palm Jaggery Til Ka Tel/Gingelly Oil/Til Oil/Kachi Ghani Oil for Pooja, Edible,Body Massage and Oil Pulling  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDIwODk1MzE3NjI5OTkzOjE3MjcxODUwMzI6c3BfYXRmOjMwMDMyNjI1MjM1NzkzMjo6MDo6&url=%2FVAIGARAI-Pressed-Karuppati-Jaggery-Gingelly%2Fdp%2FB0D4Z9SB4N%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU%26dib_tag%3Dse%26keywords%3Dpalm%2Boil%26qid%3D1727185032%26sprefix%3Dpalm%2Boil%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,325,5.0 out of 5 stars,650,7,Get it by,Monday 30 September,https://m.media-amazon.com/images/I/61ANdj-MfaL._AC_UL320_.jpg
"Ruchi Gold Palmolein Oil for Cooking, Frying, Every Day Use, Edible Oil, 850 gm/870 gm/ 893gm  ",https://amazon.in//Ruchi-Gold-Oil-Palmolein-1L/dp/B00YMGP36E/ref=sr_1_3_f3_0o_fs?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-3,86,4.0 out of 5 stars,96.30,"4,169",FREE delivery starting from,Tomorrow 6 am - 10 am,https://m.media-amazon.com/images/I/61JRBicyrAL._AC_UL320_.jpg
"Fortune Sunlite Refined Sunflower Oil, 1L  ",https://amazon.in//Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO/ref=sr_1_4?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-4,141,4.4 out of 5 stars,141,"35,892",Get it,Monday 30 September,https://m.media-amazon.com/images/I/81ILzuTdkbL._AC_UL320_.jpg
"Sunrich Sunflower Oil Pouch, Edible Oil for Cooking & Frying, Everyday Kitchen Use, Vegetable Oil, 899 Gm/910gm  ",https://amazon.in//Sunrich-Sunflower-Oil-Pouch-1L/dp/B019RJOB2C/ref=sr_1_5?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-5,215,4.3 out of 5 stars,239.15,"4,081",Get it by,Tuesday 1 October,https://m.media-amazon.com/images/I/71OrIGkEM+L._AC_UL320_.jpg
Vishwas Palmolein oil - 5 Litre Jar | Refined Palm Oil 100% Pure Palmolein Cooking Oil  ,https://amazon.in//Vishwas-Palm-Oil-Refined-Natural/dp/B09JZQD75F/ref=sr_1_6?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-6,"1,049",3.7 out of 5 stars,209.80,6,Get it by,Monday 30 September,https://m.media-amazon.com/images/I/61l7Q5Apf8L._AC_UL320_.jpg
"Fortune Sunlite Refined Sunflower Oil, 5L Jar  ",https://amazon.in//Fortune-Sunlite-Refined-Sunflower-Oil/dp/B075757RF2/ref=sr_1_7?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-7,980,4.4 out of 5 stars,196,"15,970",Get it,Wednesday 2 October,https://m.media-amazon.com/images/I/71AgCOCoKYL._AC_UL320_.jpg
"Aadhar Refined Sunflower Oil, 1L  ",https://amazon.in//Aadhar-Refined-Sunflower-Oil-1L/dp/B07BYNS93V/ref=sr_1_8?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-8,N/A,4.3 out of 5 stars,N/A,"1,078",N/A,N/A,https://m.media-amazon.com/images/I/81nsMQbVEIL._AC_UL320_.jpg
Dabur Anmol Gold 100 % Pure Coconut Oil - 1L | Natural | Nariyal Tel | Handpicked Sundried Coconuts | Multipurpose Oil  ,https://amazon.in//DABUR-Anmol-Gold-Pure-Coconut/dp/B0886TWQ3S/ref=sr_1_9?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-9,207,4.3 out of 5 stars,207,"11,845",Get it by,"Tomorrow, 25 September",https://m.media-amazon.com/images/I/718hz7QzLCL._AC_UL320_.jpg
"Mahakosh Refined Soyabean Oil, Edible Cooking Oil for Frying, Everyday Kitchen Use, 895 Gm  ",https://amazon.in//Mahakosh-Soyabean-Oil-Refined-Pouch/dp/B0968X956Z/ref=sr_1_10?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.UJ8jX3DMQV4AIQ9EUdk3OKqJ5KRQAGE0gIiTtRX5ZEyYCwsAKWahT6253u7MJ_9-nnvY_v2qnJ-FUcjWj5ifc9hOnLMw4jZdD7uvqcMNpeF6hsvbtUqOVXTB_vC96Lnbv3EUS18y7pnUH50Qsj4xFRarDfGVF6SaMeHnbHVQexp1rtmwx4mqG9kV_z5PtYfyeEDheJlIe5YSvnweOP_UinvKhCqPbNPbVcNut7bubEYNXLBUDbuiHGwJYyS1s0d6CHJUyjUfebSMz0xmkRl1o9XLEELkEoDK3pRJdXQbJAk.y6GNzztRSYApJbUqG3O2z5oK-P52ncbm6DK8yJNMgxU&dib_tag=se&keywords=palm+oil&qid=1727185032&sprefix=palm+oil%2Caps%2C349&sr=8-10,118,4.3 out of 5 stars,131.26,"3,756",Get it,Monday 30 September,https://m.media-amazon.com/images/I/71gUmyHlO7L._AC_UL320_.jpg
