title,link,price,rating,MRP,Reviews_count,delivery_date,image
Puvi 5L Cold Pressed Groundnut/Peanut Oil (Chekku/Ghani) - 5 Litres  ,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzQzNDMzOTQxMzcyMjU6MTcyNzU0NDgyODpzcF9hdGZfbmV4dDoyMDAzMzY4NTYyNTcwMzo6MDo6&url=%2FPressed-Groundnut-Peanut-Chekku-Ghani%2Fdp%2FB089FHB9R4%2Fref%3Dsr_1_49_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg%26dib_tag%3Dse%26keywords%3Drefined%2Boil%26qid%3D1727544828%26sprefix%3Drefined%2Boil%252Caps%252C349%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,1775.0,4.3,355.0,5697,Monday 30 September,https://m.media-amazon.com/images/I/71XucptaopL._AC_UL320_.jpg
Anjali Cold Pressed Gingelly/Sesame Oil (10 Litre - Each 5 Litre Can)  ,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzQzNDMzOTQxMzcyMjU6MTcyNzU0NDgyODpzcF9hdGZfbmV4dDozMDAyMDE3OTYxNDQzMzI6OjA6Og&url=%2FAnjali-Pressed-Gingelly-Sesame-Litre%2Fdp%2FB08J7VYY6F%2Fref%3Dsr_1_50_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg%26dib_tag%3Dse%26keywords%3Drefined%2Boil%26qid%3D1727544828%26sprefix%3Drefined%2Boil%252Caps%252C349%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,2999.0,4.3,299.9,2004,Saturday 5 October,https://m.media-amazon.com/images/I/71rF+jjWSRL._AC_UL320_.jpg
Yenstar Cold Pressed Groundnut/Peanut Oil (5 Litre Can)  ,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzQzNDMzOTQxMzcyMjU6MTcyNzU0NDgyODpzcF9hdGZfbmV4dDozMDAyMDE3OTYxNDQ2MzI6OjA6Og&url=%2FYenstar-Pressed-Groundnut-Peanut-Litre%2Fdp%2FB08QDHFMNB%2Fref%3Dsr_1_51_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg%26dib_tag%3Dse%26keywords%3Drefined%2Boil%26qid%3D1727544828%26sprefix%3Drefined%2Boil%252Caps%252C349%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,999.0,4.3,199.8,1723,Saturday 5 October,https://m.media-amazon.com/images/I/71Z2HeCUNdL._AC_UL320_.jpg
"Del Monte Pomace Olive Oil, Ideal for Everyday Indian Cooking & Deep Frying, 1L  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzQzNDMzOTQxMzcyMjU6MTcyNzU0NDgyODpzcF9hdGZfbmV4dDoyMDA1MDg3NjgwMjYwODo6MDo6&url=%2FDelmonte-Olive-Pomace-Oil-1L%2Fdp%2FB00RTBUB48%2Fref%3Dsr_1_52_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg%26dib_tag%3Dse%26keywords%3Drefined%2Boil%26qid%3D1727544828%26sprefix%3Drefined%2Boil%252Caps%252C349%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,848.0,4.4,848.0,4745,Monday 30 September,https://m.media-amazon.com/images/I/510LoO4-C9L._AC_UL320_.jpg
"Jivo Canola Oil,1 Litre Cold Press Cooking Oil for Daily use | Lowest in Saturated Fat (Pack of 1L)  ",https://amazon.in//Jivo-Healthy-Recommended-Association-Saturated/dp/B09MJ6QDX7/ref=sr_1_54?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-54,229.0,4.3,229.0,1469,Monday 30 September,https://m.media-amazon.com/images/I/51D0uXpD1ML._AC_UL320_.jpg
"Tata Simply Better Pure & Unrefined Cold Pressed Groundnut (Peanut) Oil,Kolhu/Kacchi Ghani/Mara Chekku/Ganuga,Naturally Cholesterol Free,1L,Groundnut Oil Rich Aroma & Flavour Of Real Groundnuts  ",https://amazon.in//Tata-Simply-Better-Cholesterol-Multipurpose/dp/B0C81J4DS4/ref=sr_1_55?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-55,350.0,4.4,350.0,1137,Monday 30 September,https://m.media-amazon.com/images/I/61ubMhV+GDL._AC_UL320_.jpg
"Dhara Filtered Groundnut Oil, 1L  ",https://amazon.in//Dhara-Groundnut-Oil-Pouch-1L/dp/B01N174GH7/ref=sr_1_56?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-56,204.0,4.3,408.0,3874,Tuesday 8 October,https://m.media-amazon.com/images/I/719inMynqvL._AC_UL320_.jpg
"Actipro High Oleic Refined Sunflower Oil -15L / 13.5Kg for Cooking, Roasting, Frying, Baking  ",https://amazon.in//ACTIPRO-Oleic-Refined-Sunflower-Special/dp/B07RY83HNZ/ref=sr_1_57?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-57,3285.0,3.4,219.0,63,Tuesday 1 October,https://m.media-amazon.com/images/I/71s12rK4QbL._AC_UL320_.jpg
Saffola Gold Refined Oil|Blend of Rice Bran Oil & Sunflower Oil|Cooking Oil|Pro Healthy Lifestyle Edible Oil 4 X 1 L Pouch  ,https://amazon.in//Saffola-Gold-Healthy-Lifestyle-Edible/dp/B07KKH8XCD/ref=sr_1_58?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-58,851.0,4.4,212.75,2632,Saturday 19 October,https://m.media-amazon.com/images/I/71fWAsHynjL._AC_UL320_.jpg
"Vimal Cottonseed Oil: Healthy Kapasiya Tel, Refined Cooking Oil for Balanced Diet | Pure Cottonseed Oil, High Smoke Point (5L)  ",https://amazon.in//Vimal-Refined-Cottonseed-Oil-Jar/dp/B0BVWMM7FQ/ref=sr_1_59?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.ihW45BYH9nMFLxW3m3CNT13FBL9GnD62uLo--SPcdQvCkeMj9ux6w6finjre8RH8Uyfcg6whzq_K7YtZkYiOP6Br68E_WS6eDQRPuJuLQVtGQILYnn5aY8tbs5FYNZVp0bSLszeFkUpIEXPKs6cYSo5vRl764vRD_Rp6TVMna7MBeJ6jT3Y05pYIR6QIWyFjfe-u9XjZ5Sj2PQAek6gzFg6NAs7xwiOobngIrpSqBE8zJl0kMgL6ivqY61UfEBmAulLR44QxNxqFFs1Aj07Ul6_GEpHF4Fo7mMNq_0vedI0.4EM0nIDnmSHG04Sqidz2t_yLDKIEVRCgxlIqE5n7Emg&dib_tag=se&keywords=refined+oil&qid=1727544828&sprefix=refined+oil%2Caps%2C349&sr=8-59,899.0,4.7,179.8,40,Monday 7 October,https://m.media-amazon.com/images/I/715FeTfAgAL._AC_UL320_.jpg
